&a / °	I1 / %
2,629	16,8
2,624	13,2
2,619	10,4
2,613	8,4
2,608	6,8
2,602	5,7
2,597	4,9
2,592	4,5
2,586	4,3
2,581	4,2
2,576	4,2
2,570	4,2
2,565	4,2
2,560	4,6
2,554	5,1
2,549	6,0
2,544	7,6
2,538	10,0
2,533	13,2
2,528	17,1
2,522	21,2
2,517	25,7
2,512	29,3
2,506	31,6
2,501	32,4
2,496	31,6
2,490	28,9
2,485	24,9
2,480	20,5
2,474	16,5
2,469	13,0
2,464	10,3
2,458	8,4
2,453	7,1
2,448	6,0
2,442	5,2
2,437	4,8
2,432	4,4
2,426	4,3
2,421	4,3
2,416	4,3
2,410	4,3
2,405	4,4
2,400	4,8
2,394	5,2
2,389	6,0
2,384	7,4
2,378	9,7
2,373	12,8
2,368	16,4
2,362	20,3
2,357	24,6
2,352	28,4
2,346	31,2
2,341	32,8
2,336	32,9
2,330	31,3
2,325	28,4
2,320	24,4
2,314	20,2
2,309	16,3
2,304	13,2
2,298	10,8
2,293	9,2
2,288	8,0
2,282	7,2
2,277	6,4
2,272	6,0
2,266	5,8
2,261	5,7
2,256	5,7
2,250	5,6
2,245	5,6
2,240	5,7
2,234	6,0
2,229	6,4
2,223	6,8
2,218	7,3
2,213	8,3
2,207	10,0
2,202	12,4
2,197	15,6
2,191	18,8
2,186	22,6
2,181	26,6
2,175	30,2
2,170	32,6
2,165	33,8
2,159	33,5
2,154	31,8
2,149	28,9
2,143	25,2
2,138	21,1
2,133	17,2
2,127	14,0
2,122	11,5
2,117	9,3
2,111	7,7
2,106	6,6
2,101	5,8
2,095	5,2
2,090	4,8
2,085	4,4
2,079	4,4
2,074	4,3
2,069	4,3
2,063	4,3
2,058	4,3
2,053	4,3
2,047	4,4
2,042	4,8
2,037	5,2
2,031	5,7
2,026	6,7
2,021	8,3
2,015	10,7
2,010	13,6
2,005	16,8
1,999	20,0
1,994	23,7
1,989	27,5
1,983	30,5
1,978	32,5
1,972	33,5
1,967	33,2
1,962	31,9
1,956	29,2
1,951	25,6
1,946	21,6
1,940	18,0
1,935	14,8
1,930	12,1
1,924	10,1
1,919	8,5
1,914	7,3
1,908	6,5
1,903	6,0
1,898	5,6
1,892	5,2
1,887	5,2
1,882	5,2
1,876	5,2
1,871	5,2
1,866	5,3
1,860	5,4
1,855	5,6
1,850	5,7
1,844	6,0
1,839	6,2
1,834	6,5
1,828	6,8
1,823	7,4
1,818	8,2
1,812	9,4
1,807	11,5
1,802	13,9
1,796	16,6
1,791	19,6
1,786	23,1
1,780	26,5
1,775	29,7
1,769	32,1
1,764	33,4
1,759	34,0
1,753	33,6
1,748	32,1
1,743	29,7
1,737	26,4
1,732	22,8
1,727	19,2
1,721	16,0
1,716	13,2
1,711	11,2
1,705	9,5
1,700	8,1
1,695	7,2
1,689	6,4
1,684	5,7
1,679	5,2
1,673	4,8
1,668	4,4
1,663	4,4
1,657	4,4
1,652	4,4
1,647	4,4
1,641	4,4
1,636	4,4
1,631	4,4
1,625	4,4
1,620	4,4
1,615	4,6
1,609	4,8
1,604	5,2
1,599	5,6
1,593	6,1
1,588	6,8
1,582	8,0
1,577	9,6
1,572	11,8
1,566	14,4
1,561	17,2
1,556	20,0
1,550	22,8
1,545	25,7
1,540	28,8
1,534	31,5
1,529	33,2
1,524	34,4
1,518	34,9
1,513	35,0
1,508	34,3
1,502	32,7
1,497	30,2
1,492	27,1
1,486	23,6
1,481	20,3
1,476	17,2
1,470	14,6
1,465	12,4
1,460	10,8
1,454	9,2
1,449	8,0
1,444	7,2
1,438	6,4
1,433	6,0
1,428	5,6
1,422	5,1
1,417	4,7
1,411	4,4
1,406	4,3
1,401	4,1
1,395	4,0
1,390	4,0
1,385	4,0
1,379	4,0
1,374	4,1
1,369	4,1
1,363	4,1
1,358	4,1
1,353	4,5
1,347	4,8
1,342	5,2
1,337	5,6
1,331	6,0
1,326	6,4
1,321	6,9
1,315	7,6
1,310	8,4
1,305	9,6
1,299	11,1
1,294	12,8
1,289	14,8
1,283	17,2
1,278	19,6
1,273	22,0
1,267	24,3
1,262	26,7
1,256	29,2
1,251	31,6
1,246	33,6
1,240	35,0
1,235	36,0
1,230	36,2
1,224	36,2
1,219	35,6
1,214	34,6
1,208	33,1
1,203	31,1
1,198	28,6
1,192	25,7
1,187	22,7
1,182	19,9
1,176	17,2
1,171	14,9
1,166	12,9
1,160	11,4
1,155	10,1
1,150	9,0
1,144	8,2
1,139	7,4
1,134	6,8
1,128	6,4
1,123	6,0
1,118	6,0
1,112	5,7
1,107	5,7
1,101	5,6
1,096	5,6
1,091	5,6
1,085	5,6
1,080	5,6
1,075	5,6
1,069	5,6
1,064	5,6
1,059	5,3
1,053	5,2
1,048	5,0
1,043	4,9
1,037	4,8
1,032	4,8
1,027	4,7
1,021	4,7
1,016	4,7
1,011	4,8
1,005	4,8
1,000	5,1
0,995	5,2
0,989	5,6
0,984	5,8
0,979	6,2
0,973	6,5
0,968	6,9
0,962	7,4
0,957	8,2
0,952	8,9
0,946	9,7
0,941	11,0
0,936	12,7
0,930	14,4
0,925	16,0
0,920	17,6
0,914	19,7
0,909	22,0
0,904	24,3
0,898	26,4
0,893	28,4
0,888	30,4
0,882	32,4
0,877	34,4
0,872	36,1
0,866	37,6
0,861	38,6
0,856	39,2
0,850	39,6
0,845	39,5
0,840	39,1
0,834	38,4
0,829	37,8
0,823	36,9
0,818	35,8
0,813	34,3
0,807	32,8
0,802	31,2
0,797	29,2
0,791	27,1
0,786	24,8
0,781	22,4
0,775	20,4
0,770	18,4
0,765	16,7
0,759	15,1
0,754	13,9
0,749	12,7
0,743	11,6
0,738	10,7
0,733	10,0
0,727	9,3
0,722	8,8
0,717	8,4
0,711	8,1
0,706	7,8
0,701	7,6
0,695	7,2
0,690	6,9
0,684	6,6
0,679	6,4
0,674	6,1
0,668	6,0
0,663	5,6
0,658	5,5
0,652	5,2
0,647	5,0
0,642	4,8
0,636	4,8
0,631	4,5
0,626	4,5
0,620	4,4
0,615	4,4
0,610	4,4
0,604	4,4
0,599	4,4
0,594	4,4
0,588	4,4
0,583	4,4
0,578	4,4
0,572	4,4
0,567	4,4
0,561	4,4
0,556	4,5
0,551	4,8
0,545	4,8
0,540	5,2
0,535	5,2
0,529	5,2
0,524	5,2
0,519	5,2
0,513	5,2
0,508	5,2
0,503	5,1
0,497	5,0
0,492	4,8
0,487	4,8
0,481	4,7
0,476	4,7
0,471	4,6
0,465	4,7
0,460	4,8
0,455	4,8
0,449	4,8
0,444	4,9
0,438	5,0
0,433	5,2
0,428	5,2
0,422	5,4
0,417	5,6
0,412	5,6
0,406	5,8
0,401	6,0
0,396	6,4
0,390	6,8
0,385	7,1
0,380	7,2
0,374	7,3
0,369	7,6
0,364	7,6
0,358	7,7
0,353	7,7
0,348	7,9
0,342	7,9
0,337	8,0
0,332	8,0
0,326	8,3
0,321	8,6
0,316	8,9
0,310	9,2
0,305	9,6
0,299	9,9
0,294	10,1
0,289	10,4
0,283	10,7
0,278	11,1
0,273	11,5
0,267	12,0
0,262	12,4
0,257	12,8
0,251	13,4
0,246	14,1
0,241	14,9
0,235	15,6
0,230	16,0
0,225	16,4
0,219	16,9
0,214	17,3
0,209	17,7
0,203	18,0
0,198	18,4
0,193	18,8
0,187	19,1
0,182	19,2
0,176	19,6
0,171	20,0
0,166	20,4
0,160	20,8
0,155	21,2
0,150	21,6
0,144	22,0
0,139	22,3
0,134	22,6
0,128	22,8
0,123	23,2
0,118	23,3
0,112	23,7
0,107	24,1
0,102	24,4
0,096	24,8
0,091	24,9
0,086	24,9
0,080	25,0
0,075	25,0
0,070	25,1
0,064	25,1
0,059	25,1
0,053	25,1
0,048	25,2
0,043	25,2
0,037	25,2
0,032	25,2
0,027	25,2
0,021	25,2
0,016	25,2
0,011	25,3
0,005	25,3
0,000	25,6
-0,005	25,6
-0,011	25,6
-0,016	25,6
-0,021	25,6
-0,027	25,8
-0,032	25,8
-0,037	25,9
-0,043	25,8
-0,048	25,6
-0,053	25,3
-0,059	25,1
-0,064	24,8
-0,070	24,7
-0,075	24,4
-0,080	24,3
-0,086	23,9
-0,091	23,6
-0,096	23,4
-0,102	23,2
-0,107	23,1
-0,112	22,9
-0,118	22,7
-0,123	22,4
-0,128	22,1
-0,134	22,0
-0,139	21,7
-0,144	21,4
-0,150	21,2
-0,155	20,8
-0,160	20,4
-0,166	20,0
-0,171	19,6
-0,176	18,8
-0,182	17,2
-0,187	15,6
-0,193	14,8
-0,198	14,8
-0,203	14,4
-0,209	13,6
-0,214	12,8
-0,219	12,0
-0,225	12,0
-0,230	12,4
-0,235	12,8
-0,241	12,7
-0,246	12,4
-0,251	12,0
-0,257	11,4
-0,262	11,0
-0,267	10,8
-0,273	10,8
-0,278	10,4
-0,283	9,7
