x-axis,1,2,3
second,Volt,Volt,Volt
+1.10000E-03,+4.74900007E+00,+685.00000E-03,+105.75008E-03
+1.11000E-03,+4.81150007E+00,+691.25000E-03,+137.00008E-03
+1.12000E-03,+4.74900007E+00,+685.00000E-03,+137.00008E-03
+1.13000E-03,+4.68650007E+00,+672.50000E-03,+74.50008E-03
+1.14000E-03,+4.74900007E+00,+678.75000E-03,+105.75008E-03
+1.15000E-03,+4.62400007E+00,+666.25000E-03,+105.75008E-03
+1.16000E-03,+4.62400007E+00,+666.25000E-03,+105.75008E-03
+1.17000E-03,+4.62400007E+00,+672.50000E-03,+105.75008E-03
+1.18000E-03,+4.56150007E+00,+660.00000E-03,+105.75008E-03
+1.19000E-03,+4.56150007E+00,+660.00000E-03,+105.75008E-03
+1.20000E-03,+4.56150007E+00,+660.00000E-03,+105.75008E-03
+1.21000E-03,+4.43650007E+00,+641.25000E-03,+137.00008E-03
+1.22000E-03,+4.49900007E+00,+641.25000E-03,+137.00008E-03
+1.23000E-03,+4.43650007E+00,+635.00000E-03,+137.00008E-03
+1.24000E-03,+4.43650007E+00,+635.00000E-03,+137.00008E-03
+1.25000E-03,+4.43650007E+00,+622.50000E-03,+137.00008E-03
+1.26000E-03,+4.37400007E+00,+622.50000E-03,+137.00008E-03
+1.27000E-03,+4.43650007E+00,+622.50000E-03,+105.75008E-03
+1.28000E-03,+4.37400007E+00,+610.00000E-03,+105.75008E-03
+1.29000E-03,+4.24900007E+00,+622.50000E-03,+105.75008E-03
+1.30000E-03,+4.24900007E+00,+616.25000E-03,+137.00008E-03
+1.31000E-03,+4.24900007E+00,+610.00000E-03,+137.00008E-03
+1.32000E-03,+4.37400007E+00,+610.00000E-03,+137.00008E-03
+1.33000E-03,+4.18650007E+00,+597.50000E-03,+137.00008E-03
+1.34000E-03,+4.06150007E+00,+597.50000E-03,+168.25008E-03
+1.35000E-03,+4.18650007E+00,+585.00000E-03,+137.00008E-03
+1.36000E-03,+4.18650007E+00,+585.00000E-03,+137.00008E-03
+1.37000E-03,+4.06150007E+00,+578.75000E-03,+168.25008E-03
+1.38000E-03,+4.06150007E+00,+585.00000E-03,+105.75008E-03
+1.39000E-03,+3.99900007E+00,+572.50000E-03,+105.75008E-03
+1.40000E-03,+3.93650007E+00,+572.50000E-03,+137.00008E-03
+1.41000E-03,+3.99900007E+00,+560.00000E-03,+137.00008E-03
+1.42000E-03,+3.99900007E+00,+566.25000E-03,+137.00008E-03
+1.43000E-03,+3.87400007E+00,+560.00000E-03,+137.00008E-03
+1.44000E-03,+3.93650007E+00,+560.00000E-03,+137.00008E-03
+1.45000E-03,+3.87400007E+00,+553.75000E-03,+137.00008E-03
+1.46000E-03,+3.87400007E+00,+547.50000E-03,+137.00008E-03
+1.47000E-03,+3.87400007E+00,+547.50000E-03,+137.00008E-03
+1.48000E-03,+3.81150007E+00,+547.50000E-03,+137.00008E-03
+1.49000E-03,+3.81150007E+00,+535.00000E-03,+137.00008E-03
+1.50000E-03,+3.81150007E+00,+535.00000E-03,+137.00008E-03
+1.51000E-03,+3.74900007E+00,+535.00000E-03,+168.25008E-03
+1.52000E-03,+3.74900007E+00,+516.25000E-03,+168.25008E-03
+1.53000E-03,+3.74900007E+00,+522.50000E-03,+137.00008E-03
+1.54000E-03,+3.68650007E+00,+522.50000E-03,+137.00008E-03
+1.55000E-03,+3.56150007E+00,+510.00000E-03,+137.00008E-03
+1.56000E-03,+3.62400007E+00,+516.25000E-03,+137.00008E-03
+1.57000E-03,+3.68650007E+00,+510.00000E-03,+168.25008E-03
+1.58000E-03,+3.62400007E+00,+497.50000E-03,+137.00008E-03
+1.59000E-03,+3.56150007E+00,+497.50000E-03,+137.00008E-03
+1.60000E-03,+3.56150007E+00,+485.00000E-03,+137.00008E-03
+1.61000E-03,+3.49900007E+00,+485.00000E-03,+168.25008E-03
+1.62000E-03,+3.49900007E+00,+485.00000E-03,+137.00008E-03
+1.63000E-03,+3.43650007E+00,+478.75000E-03,+168.25008E-03
+1.64000E-03,+3.43650007E+00,+485.00000E-03,+168.25008E-03
+1.65000E-03,+3.49900007E+00,+478.75000E-03,+168.25008E-03
+1.66000E-03,+3.49900007E+00,+472.50000E-03,+168.25008E-03
+1.67000E-03,+3.43650007E+00,+472.50000E-03,+168.25008E-03
+1.68000E-03,+3.43650007E+00,+472.50000E-03,+137.00008E-03
+1.69000E-03,+3.43650007E+00,+453.75000E-03,+168.25008E-03
+1.70000E-03,+3.37400007E+00,+466.25000E-03,+168.25008E-03
+1.71000E-03,+3.37400007E+00,+453.75000E-03,+168.25008E-03
+1.72000E-03,+3.31150007E+00,+453.75000E-03,+168.25008E-03
+1.73000E-03,+3.31150007E+00,+447.50000E-03,+168.25008E-03
+1.74000E-03,+3.31150007E+00,+447.50000E-03,+168.25008E-03
+1.75000E-03,+3.31150007E+00,+441.25000E-03,+137.00008E-03
+1.76000E-03,+3.18650007E+00,+435.00000E-03,+168.25008E-03
+1.77000E-03,+3.18650007E+00,+428.75000E-03,+137.00008E-03
+1.78000E-03,+3.31150007E+00,+441.25000E-03,+168.25008E-03
+1.79000E-03,+3.24900007E+00,+435.00000E-03,+168.25008E-03
+1.80000E-03,+3.18650007E+00,+422.50000E-03,+168.25008E-03
+1.81000E-03,+3.12400007E+00,+422.50000E-03,+168.25008E-03
+1.82000E-03,+3.06150007E+00,+416.25000E-03,+168.25008E-03
+1.83000E-03,+3.12400007E+00,+416.25000E-03,+168.25008E-03
+1.84000E-03,+2.99900007E+00,+403.75000E-03,+168.25008E-03
+1.85000E-03,+3.06150007E+00,+403.75000E-03,+168.25008E-03
+1.86000E-03,+3.06150007E+00,+416.25000E-03,+199.50008E-03
+1.87000E-03,+3.12400007E+00,+403.75000E-03,+168.25008E-03
+1.88000E-03,+3.12400007E+00,+397.50000E-03,+168.25008E-03
+1.89000E-03,+3.06150007E+00,+403.75000E-03,+168.25008E-03
+1.90000E-03,+2.99900007E+00,+397.50000E-03,+168.25008E-03
+1.91000E-03,+2.93650007E+00,+397.50000E-03,+168.25008E-03
+1.92000E-03,+2.93650007E+00,+391.25000E-03,+168.25008E-03
+1.93000E-03,+2.93650007E+00,+385.00000E-03,+168.25008E-03
+1.94000E-03,+2.81150007E+00,+378.75000E-03,+168.25008E-03
+1.95000E-03,+2.87400007E+00,+372.50000E-03,+199.50008E-03
+1.96000E-03,+2.87400007E+00,+366.25000E-03,+168.25008E-03
+1.97000E-03,+2.74900007E+00,+372.50000E-03,+168.25008E-03
